Name,URL,Genossenschaft,Typ Einträge,Select,AI Summary Anteilsscheine
Baugenossenschaft Grafenwis - Statuten,https://bgg-greifensee.ch/.cm4all/uproc.php/0/20240913_Statuten_mit%20Anpassungen%20Not.%20Uster.pdf?cdp=a&_=194f9adb785,Baugenossenschaft Grafenwis,Statuten,PDF,"- Die Genossenschaftsanteile lauten auf einen Nennwert von je 100 Schweizer Franken. Die vom Mitglied zu erwerbenden Genossenschaftsanteile richten sich nach dem Anlagewert der Wohneinheit und betragen maximal 3% des Anlagewerts, die jeder Genossenschafter entrichten muss. Einzelheiten sind dem Reglement zu entnehmen.
- Das Pflichtdarlehen richtet sich nach dem gesamten Bruttohaushaltseinkommen und beträgt maximal 7% des Anlagewerts der gemieteten Räumlichkeiten. Für pensionierte Neumieter ist das letzte Einkommen vor der Pensionierung massgebend. Einzelheiten sind dem Reglement zu entnehmen.
- Genossenschaftsanteile und Pflichtdarlehen müssen auf einmal und als Ganzes einbezahlt werden. Ausnahmsweise kann der Vorstand Ratenzahlungen bewilligen.
- Anteilscheinkapital und Pflichtdarlehen werden nicht verzinst.
- Die Mittel der beruflichen Vorsorge, welche Mitglieder einbezahlt haben, müssen bei Austritt aus der Genossenschaft entweder einer anderen Wohnbaugenossenschaft oder einem anderen Wohnbauträger, von der oder dem die versicherte Person eine Wohnung selbst benutzt, oder einer Einrichtung der beruflichen Vorsorge überwiesen werden.
- Eine Verpfändung oder Übertragung von Genossenschaftsanteilen an Nichtmitglieder ist ausgeschlossen.
- Weitere besondere Bestimmungen: Bei Nichtzahlen des Anteilscheinkapitals kann nach zweimaliger Mahnung der Ausschluss erfolgen. Bei Scheidung oder Trennung richtet sich die vermögensrechtliche Folge bezüglich der Genossenschaftsanteile nach dem richterlichen Entscheid; eine Auszahlung erfolgt nur bei Aufgabe des Wohnobjekts."
Baugenossenschaft Grafenwis - Anteilsscheine,https://bgg-greifensee.ch/.cm4all/uproc.php/0/Reglement%20Statuten/Reglement-20180831.pdf?cdp=a&_=171f5772370,Baugenossenschaft Grafenwis,Anteilsscheine,PDF,"'- Mit der Miete einer Wohneinheit ist die Übernahme von Anteilscheinen von max. 3% des Anlagewertes der Wohneinheit verbunden. Der Nennwert beträgt 100 CHF je Anteilschein. Die Anzahl der zu übernehmenden Anteile richtet sich nach der Wohnungsgrösse (z.B. 3.5 Zimmer: 35 Anteile = 3'500 CHF, 4 Zimmer: 40 Anteile = 4'000 CHF, 5 Zimmer: 46 Anteile = 4'600 CHF, 6 Zimmer Nord: 60 Anteile = 6'000 CHF, 6 Zimmer Süd: 70 Anteile = 7'000 CHF).
- Anteilscheine sind spätestens 3 Monate nach Mietbeginn zu überweisen.
- Anteilscheine werden nicht verzinst.
- Es gibt keine Angaben zur Ratenzahlung oder zum Bezug aus der Altersvorsorge.
- Weitere besondere Bestimmungen: Der Vorstand kann Anpassungen bei der Anzahl der zu übernehmenden Anteile beschliessen, wenn wertvermehrende Investitionen vorliegen. Eine generelle Erhöhung bedarf der Zustimmung der Generalversammlung."
Frohes Wohnen - Anteilsscheine,https://www.bgwohnen.ch/site/assets/files/1069/reglement_anteilscheine_und_pflichtdarlehen_ab_16_05_2022.pdf,Frohes Wohnen,Anteilsscheine,PDF,"Ich kann das angegebene Dokument leider nicht direkt öffnen und durchsuchen. Bitte stelle sicher, dass der Link korrekt ist oder lade das Dokument direkt hoch, falls möglich."
Frohes Wohnen - Statuten,https://www.bgwohnen.ch/site/assets/files/1069/statuten-1.pdf,Frohes Wohnen,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je CHF 200.00 und müssen voll einbezahlt werden. Ausnahmsweise kann der Vorstand für die Wohnungsanteile Ratenzahlung bewilligen. Für nicht einbezahlte Anteilscheine können Verzugszinsen von bis zu maximal 8 % berechnet werden.
- Mitglieder, die Räumlichkeiten der Genossenschaft mieten, müssen zusätzlich zum Mitgliedschaftsanteil weitere Anteile (Wohnungsanteile) übernehmen. Der zu übernehmende Betrag richtet sich nach den Anlagekosten der gemieteten Räumlichkeiten und kann bis maximal 10 % der Anlagekosten betragen.
- Die Anteilscheine werden nicht verzinst.
- Genossenschaftsanteile können mit Mitteln der beruflichen Vorsorge erworben werden. Der Vorstand regelt den Vollzug in einem Reglement.
- Die Rückzahlung von Anteilen, die mit Mitteln der beruflichen Vorsorge erworben wurden, erfolgt nach Weisung des bisherigen Mitglieds entweder an eine andere Wohnbaugenossenschaft, an eine Einrichtung der beruflichen Vorsorge oder – nach Erreichen des Rentenalters – an das bisherige Mitglied selbst.
- Für Genossenschaftsanteile werden keine physischen Anteilscheine ausgegeben, das Mitglied erhält jährlich eine Bestätigung über die Höhe seiner Beteiligung.

Quelle: Statuten der Baugenossenschaft Frohes Wohnen Zürich, Art. 15–18."
Baugenossenschaft Eidgen. Beamter - Statuten,https://www.bgeb.ch/documents/Statuten.pdf,Baugenossenschaft Eidgen. Beamter,Statuten,PDF,"'- Anteilsscheine müssen mindestens Fr. 500.- betragen (Art. 6 Abs. 1).
- Die Genossenschaftsanteile lauten auf Fr. 100.- und müssen voll einbezahlt werden (Art. 11 Abs. 1).
- Bei Miete einer Wohnung kann der Vorstand wohnungsabhängige Mindestbeträge verlangen, die im Mietvertrag festgelegt werden (Art. 11 Abs. 2).
- Die Höhe des Anteilkapitals richtet sich nach dem Finanzierungsbedarf für die gemieteten Räumlichkeiten (Art. 11 Abs. 2).
- Der Maximalbetrag für Pflichtanteilkapital entspricht einer Netto-Jahresmiete der entsprechenden Wohnung (Art. 11 Abs. 4).
- Anteilkapital kann auch mit Mitteln der beruflichen Vorsorge erworben werden. Der Vorstand regelt den Vollzug in einem Reglement (Art. 11 Abs. 5).
- Das einbezahlte Anteilkapital wird nicht verzinst (Art. 11 Abs. 6).
- Die Mitgliedschaft beginnt mit der vollständigen Einzahlung des gezeichneten Anteilscheinkapitals, bei Mietern nach Einzahlung der ersten Rate gemäss Mietvertrag (Art. 6 Abs. 4).
- Bei Austritt werden Mittel der beruflichen Vorsorge entweder einer anderen Wohnbaugenossenschaft oder einer Einrichtung der beruflichen Vorsorge überwiesen (Art. 12 Abs. 2).
- Für das einbezahlte Anteilkapital werden keine Anteilscheine ausgegeben, sondern eine Bescheinigung (Art. 11 Abs. 7)."
Baugenossenschaft Dietlikon-Brüttisellen - Statuten,https://storage.e.jimdo.com/file/7596624e-de98-4e56-a46f-7e37df5f4e47/Statuten%20Ausgabe%202018.pdf,Baugenossenschaft Dietlikon-Brüttisellen,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je Fr. 100 und müssen voll einbezahlt werden. Mitglieder, die Räumlichkeiten mieten, müssen zusätzlich zum Mitgliedschaftsanteil weitere Anteile (Wohnungsanteile) übernehmen. Ausnahmsweise kann der Vorstand für die Wohnungsanteile Ratenzahlung bewilligen.
- Eine Verzinsung der Genossenschaftsanteile ist möglich, wenn angemessene Einlagen in die gesetzlichen und statutarischen Fonds sowie Abschreibungen vorgenommen sind. Die Generalversammlung bestimmt jährlich den Zinssatz. Die Anteile werden vom ersten Tag der Einzahlung bis zum Rückzahlungstag verzinst.
- Es gibt keine Angaben dazu, dass Anteile aus der Altersvorsorge bezogen werden dürfen.
- Weitere besondere Bestimmungen: Jede Verpfändung und sonstige Belastung von Genossenschaftsanteilen ist ausgeschlossen. Die Rückzahlung der Anteile erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert, und immer erst nach der Wohnungsabgabe. Für die Verbindlichkeiten der Genossenschaft haftet nur das Genossenschaftsvermögen, eine Nachschusspflicht der Mitglieder ist ausgeschlossen.

Quelle: Statuten Baugenossenschaft Dietlikon-Brüttisellen, Ausgabe 2018"
Baugenossenschaft Alpenblick - Statuten,https://www.baugenossenschaft-alpenblick.ch/s/BAZ-Statuten1.pdf,Baugenossenschaft Alpenblick,Statuten,PDF,"'- Jeder Genossenschafter muss mindestens 5 Anteilscheine zu je CHF 100 übernehmen. Die genaue Höhe des Anteilkapitals für Wohnungsnutzer bestimmt der Vorstand je nach Eigenkapitalbedarf.
- Bei Vertragsbeginn sind mindestens 50% des Anteilkapitals zu bezahlen, der Rest kann in monatlichen Raten innerhalb von drei Jahren getilgt werden.
- Das Anteilkapital wird erst verzinst, wenn der ganze Betrag einbezahlt ist. Die Verzinsung darf 4% nicht übersteigen und erfolgt nur für volle, je CHF 100 einbezahlte Beträge und volle Monate. Die Verzinsung ist zudem erst zulässig, wenn die vorgeschriebenen Fondseinlagen und Abschreibungen vorgenommen wurden.
- Es gibt keine Angaben dazu, dass Anteilsscheine aus der Altersvorsorge (z.B. Pensionskasse oder Säule 3a) bezogen werden dürfen.
- Weitere besondere Bestimmungen: Die Anteilscheine sind nur mit Bewilligung des Vorstands übertragbar und verpfändbar. Bei Austritt oder Ausschluss erfolgt die Rückzahlung der Einlagen nach Genehmigung der Jahresrechnung, ein Jahr nach dem Ausscheiden, maximal zum Nominalwert. Der Vorstand kann die Rückzahlung bis zu drei Jahre hinausschieben. Bei Verlängerung besteht Anspruch auf gleiche Verzinsung wie die übrigen Anteilscheine."
Ufdorf - Statuten,https://www.ufdorf.ch/global/file/download/id/54,Ufdorf,Statuten,Webseite,"'- Genossenschaftsanteile müssen bei Eintritt vollständig einbezahlt werden (Art. 7 Abs. 4).
- Die Generalversammlung bestimmt jährlich den Zinssatz für die Genossenschaftsanteile, wobei der hypothekarische Referenzzinssatz und die gesetzlichen Grenzen nicht überschritten werden dürfen. Nicht einbezahlte Beträge werden nicht verzinst (Art. 16).
- Die Rückzahlung der Genossenschaftsanteile erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert. Bei einer Mitgliedschaft von weniger als zwei Jahren kann eine Umtriebsentschädigung von max. 10% abgezogen werden. Die Auszahlung erfolgt innert eines Monats nach Genehmigung der Jahresrechnung, kann aber bei Bedarf bis zu drei Jahre hinausgeschoben werden (Art. 17).
- Die Genossenschaftsanteile können mit Mitteln der beruflichen Vorsorge erworben werden. Die Rückzahlung solcher Anteile erfolgt nach Weisung des bisherigen Mitglieds entweder an eine neue Wohnbaugenossenschaft, an eine Vorsorgeeinrichtung oder nach Erreichen des Rentenalters an das Mitglied selbst (Art. 17 Abs. 2).
- Mitglieder, die Räumlichkeiten mieten, müssen zusätzlich Wohnungsanteile übernehmen. Die Höhe richtet sich nach Zimmerzahl und Anlagekosten, maximal 10% der Anlagekosten. Die Wohnungsanteile können ebenfalls mit Mitteln der beruflichen Vorsorge erworben werden (Art. 18).
- Die Wohnungsanteile werden grundsätzlich nicht verzinst, eine allfällige Verzinsung bestimmt der Vorstand (Art. 18 Abs. 4).
- Es gibt keine Hinweise auf Ratenzahlung für die Genossenschaftsanteile in den Statuten.
- Weitere besondere Bestimmungen: Genossenschaftsanteile dürfen nicht an Nichtmitglieder übertragen oder verpfändet werden (Art. 13)."
Kratwerk1 - Statuten,https://www.kraftwerk1.ch/assets/2022_Webside_Kraftwerk1-Statuten_GV_170617.pdf,Kratwerk1,Statuten,PDF,"Ich kann das angegebene Dokument leider nicht abrufen. Bitte stelle sicher, dass die URL korrekt ist oder lade das Dokument direkt hoch, falls möglich."
Bau- & Wohngenossenschaft NeNa1 - Statuten,https://nena1.ch/unser-plan/statuten/,Bau- & Wohngenossenschaft NeNa1,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf CHF 50.– pro Anteil. Der erste Anteil ist nicht rückzahlbar. Mitglieder, die Räumlichkeiten mieten, müssen zusätzliche Pflichtanteile übernehmen, abgestuft nach den Anlagekosten der Wohnung/des Arbeitsraums, maximal 20% der Anlagekosten der gemieteten Räumlichkeiten. Die genaue Höhe legt die Verwaltung fest.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben, aber eine Bestätigung über die Beteiligung.
- Das Anteilkapital wird nicht verzinst.
- Anteile können teilweise mit Mitteln der beruflichen Vorsorge (Pensionskasse) erworben werden. Die Verwaltung regelt den Vollzug im Betriebsreglement.
- Die Rückzahlung von Anteilen, die mit Mitteln der beruflichen Vorsorge erworben wurden, erfolgt nach Weisung des bisherigen Mitglieds entweder an eine neue Wohnbaugenossenschaft oder an eine Vorsorgeeinrichtung; nach Erreichen des Rentenalters direkt an das Mitglied.
- Es gibt keine Angaben zu Ratenzahlung.
- Weitere besondere Bestimmungen: Der erste Anteil ist nicht rückzahlbar. Die Übertragung von Anteilen ist nur zwischen Mitgliedern mit Zustimmung der Verwaltung möglich. Verpfändung und Belastung der Anteile sind ausgeschlossen.

Quelle: https://nena1.ch/unser-plan/statuten/"
Allgemeine Baugenossenschaft Urdorf - Statuten,https://www.abu-urdorf.ch/s/ABU-Statuten_92013.pdf,Allgemeine Baugenossenschaft Urdorf,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je Fr. 500.- und müssen voll einbezahlt werden.
- Anteile können mit Mitteln der beruflichen Vorsorge erworben werden.
- Mit Zustimmung der Verwaltung können die Anteile auch von Dritten finanziert werden.
- Die Anteile werden erst nach der vollen Einzahlung verzinst.
- Die Verzinsung erfolgt nur, wenn das Rechnungsergebnis dies gestattet und die gesetzlichen Vorschriften eingehalten wurden. Die Generalversammlung bestimmt jährlich den Zinssatz, der bestimmte Grenzen nicht überschreiten darf.
- Die Auszahlung und Verzinsung erfolgt innert 60 Tagen nach Genehmigung der Jahresrechnung durch die Generalversammlung. Die Verwaltung kann die Rückzahlung der Anteile bis zu drei Jahre hinausschieben.
- Die Anteile am Genossenschaftskapital können nicht verpfändet werden.
- Ausscheidende Mitglieder haben Anspruch auf Rückzahlung der einbezahlten Genossenschaftsanteile, höchstens zum Nennwert samt Zins bis zum Auszahlungstermin. Die Rückzahlung erfolgt innert 90 Tagen nach dem Ausscheiden.
- Kein Anspruch auf Auszahlung besteht bei Pflichtanteilen, wenn diese infolge von Trennung oder Scheidung an den in der Wohnung verbleibenden Ehepartner zu übertragen sind.

Weitere Bestimmungen, z.B. zur Ratenzahlung oder zum Bezug aus der Altersvorsorge (Höhe, Modalitäten), sind in den Statuten nicht detailliert geregelt. Lediglich der Erwerb mit Mitteln der beruflichen Vorsorge ist ausdrücklich erlaubt."
